Date,Close,Open,High,Low,Volume,Change
2011-01-03,518.05,515.71,518.06,514.51,579760.0,0.0144
2011-01-04,521.35,520.74,522.34,519.29,726930.0,0.0064
2011-01-05,523.81,522.16,524.41,519.93,640430.0,0.004699999999999999
2011-01-06,527.64,527.82,529.87,524.44,793900.0,0.0073
2011-01-07,530.84,530.75,531.28,529.87,657450.0,0.0060999999999999995
2011-01-10,533.98,532.96,534.87,532.09,616780.0,0.0059
2011-01-11,533.67,535.94,536.84,531.23,740300.0,-0.0006
2011-01-12,535.43,536.52,536.84,534.94,810530.0,0.0033
2011-01-13,534.27,538.61,538.86,531.99,725850.0,-0.0022
2011-01-14,535.2,536.05,536.19,533.79,636340.0,0.0017000000000000001
2011-01-17,533.01,538.07,538.13,532.16,630060.0,-0.0040999999999999995
2011-01-18,529.02,532.68,534.0,529.0,688240.0,-0.0075
2011-01-19,532.97,532.95,533.61,530.11,653270.0,0.0075
2011-01-20,533.36,533.58,535.77,533.36,686530.0,0.0007000000000000001
2011-01-21,525.75,534.55,534.65,525.7,640460.0,-0.0143
2011-01-24,527.09,526.84,527.93,525.2,673830.0,0.0025
2011-01-25,522.96,530.57,530.67,522.2,770410.0,-0.0078000000000000005
2011-01-26,524.71,524.55,526.21,524.18,595740.0,0.0033
2011-01-27,528.63,527.65,528.99,527.26,591520.0,0.0075
2011-01-28,527.46,531.38,531.76,526.81,613700.0,-0.0022
2011-01-31,521.38,523.01,524.86,521.38,514370.0,-0.0115
2011-02-01,524.5,525.1,526.47,523.26,538230.0,0.006
2011-02-07,531.09,530.68,532.62,530.68,492870.0,0.0126
2011-02-08,531.47,534.46,535.2,530.06,585210.0,0.0007000000000000001
2011-02-09,525.74,533.47,533.79,524.31,724720.0,-0.0108
2011-02-10,522.7,526.89,527.56,521.66,728030.0,-0.0058
2011-02-11,517.73,525.91,526.64,517.48,836470.0,-0.0095
2011-02-14,520.35,522.37,523.17,517.57,651100.0,0.0051
2011-02-15,520.88,521.26,522.33,519.3,725090.0,0.001
2011-02-16,520.08,522.1,524.01,519.83,874040.0,-0.0015
2011-02-17,511.08,522.67,523.55,508.01,861780.0,-0.0173
2011-02-18,518.55,513.6,518.95,511.92,697830.0,0.0146
2011-02-21,520.59,521.47,522.23,519.26,666150.0,0.0039000000000000003
2011-02-22,512.06,517.89,517.89,508.9,665720.0,-0.016399999999999998
2011-02-23,507.16,509.69,513.64,505.24,732880.0,-0.0096
2011-02-24,501.11,507.22,509.27,501.04,729020.0,-0.011899999999999999
2011-02-25,509.33,504.96,509.41,502.38,605750.0,0.016399999999999998
2011-02-28,504.46,510.83,510.84,503.17,531000.0,-0.0096
2011-03-02,503.46,502.48,507.9,501.74,537090.0,-0.002
2011-03-03,510.94,506.99,510.95,506.97,513120.0,0.0149
2011-03-04,518.79,514.85,518.81,513.59,589620.0,0.0154
2011-03-07,518.77,520.21,522.64,517.46,519990.0,-0.0
2011-03-08,524.99,520.83,525.13,517.78,583910.0,0.012
2011-03-09,522.7,528.02,528.39,521.9,687310.0,-0.0044
2011-03-10,522.17,523.7,523.99,519.29,683500.0,-0.001
2011-03-11,518.55,515.99,520.1,514.71,645270.0,-0.0069
2011-03-14,502.98,514.42,514.42,496.12,743730.0,-0.03
2011-03-15,489.44,502.86,507.81,469.2,914170.0,-0.0269
2011-03-16,492.36,492.03,496.18,486.23,669090.0,0.006
2011-03-17,487.81,482.95,487.81,482.36,549150.0,-0.0092
2011-03-18,494.79,492.31,495.61,492.28,552140.0,0.0143
2011-03-21,506.53,499.07,506.55,499.07,613040.0,0.023700000000000002
2011-03-22,507.8,510.6,510.88,507.8,745760.0,0.0025
2011-03-23,510.17,510.74,511.45,508.43,716270.0,0.004699999999999999
2011-03-24,513.7,513.15,513.89,512.59,585700.0,0.0069
2011-03-25,514.57,517.74,517.75,513.62,727360.0,0.0017000000000000001
2011-03-28,512.74,516.81,517.54,511.75,601580.0,-0.0036
2011-03-29,514.19,514.4,515.19,513.18,619360.0,0.0028000000000000004
2011-03-30,520.21,517.48,521.04,517.46,701580.0,0.011699999999999999
2011-03-31,525.42,523.83,525.42,522.98,616880.0,0.01
2011-04-01,532.06,528.49,532.25,527.77,656330.0,0.0126
2011-04-04,534.9,535.61,536.3,533.35,625810.0,0.0053
2011-04-05,537.66,537.53,538.06,535.89,654430.0,0.0052
2011-04-06,533.98,539.54,539.54,533.96,743380.0,-0.0068000000000000005
2011-04-07,534.97,536.89,537.62,533.17,734840.0,0.0019
2011-04-08,534.2,537.26,537.44,533.82,667600.0,-0.0014000000000000002
2011-04-11,533.11,536.2,537.31,533.08,568790.0,-0.002
2011-04-12,525.11,534.55,535.02,525.1,633490.0,-0.015
2011-04-13,528.7,526.67,528.7,524.88,508660.0,0.0068000000000000005
2011-04-14,531.47,530.54,531.9,529.36,665390.0,0.0052
2011-04-15,534.58,533.67,534.87,532.23,625530.0,0.0059
