Date,Close,Open,High,Low,Volume,Change
2011-01-03,2070.08,2063.69,2070.09,2054.83,354080000.0,0.009300000000000001
2011-01-04,2085.14,2074.56,2085.14,2069.12,415910000.0,0.0073
2011-01-05,2082.55,2083.1,2087.14,2076.92,386060000.0,-0.0012
2011-01-06,2077.61,2094.35,2096.65,2066.1,407830000.0,-0.0024
2011-01-07,2086.2,2073.68,2086.2,2068.66,335560000.0,0.0040999999999999995
2011-01-10,2080.81,2082.29,2088.64,2069.3,342640000.0,-0.0026
2011-01-11,2088.32,2079.85,2088.32,2059.67,410950000.0,0.0036
2011-01-12,2094.95,2091.7,2098.0,2085.99,433260000.0,0.0032
2011-01-13,2089.48,2097.04,2109.34,2083.8,424200000.0,-0.0026
2011-01-14,2108.17,2089.7,2108.17,2076.44,424720000.0,0.0089
2011-01-17,2099.85,2112.37,2118.86,2099.84,428360000.0,-0.0039000000000000003
2011-01-18,2096.48,2095.85,2111.4,2093.32,454900000.0,-0.0016
2011-01-19,2115.69,2106.53,2119.24,2084.08,425470000.0,0.0092
2011-01-20,2106.66,2111.41,2114.2,2102.61,335460000.0,-0.0043
2011-01-21,2069.92,2103.74,2104.39,2066.82,395400000.0,-0.0174
2011-01-24,2082.16,2067.32,2082.97,2064.0,340240000.0,0.0059
2011-01-25,2086.67,2092.27,2105.33,2083.8,420960000.0,0.0022
2011-01-26,2110.46,2093.59,2112.33,2092.41,369360000.0,0.011399999999999999
2011-01-27,2115.01,2115.04,2121.06,2108.53,358860000.0,0.0022
2011-01-28,2107.87,2115.69,2119.49,2095.36,412960000.0,-0.0034000000000000002
2011-01-31,2069.73,2080.6,2089.72,2069.73,320900000.0,-0.0181
2011-02-01,2072.03,2079.92,2086.56,2071.73,290810000.0,0.0011
2011-02-07,2081.74,2102.76,2107.83,2081.73,285940000.0,0.004699999999999999
2011-02-08,2069.7,2090.47,2092.43,2066.71,300330000.0,-0.0058
2011-02-09,2045.58,2077.12,2077.12,2037.3,333190000.0,-0.011699999999999999
2011-02-10,2008.5,2041.07,2043.07,2008.5,309760000.0,-0.0181
2011-02-11,1977.19,2010.29,2021.42,1975.47,317290000.0,-0.015600000000000001
2011-02-14,2014.59,1999.09,2015.84,1986.94,279520000.0,0.0189
2011-02-15,2010.52,2018.4,2029.99,2003.58,275030000.0,-0.002
2011-02-16,1989.11,2007.08,2021.69,1989.11,297630000.0,-0.0106
2011-02-17,1977.22,2002.0,2006.59,1959.71,340280000.0,-0.006
2011-02-18,2013.14,1989.24,2015.78,1981.75,493970000.0,0.0182
2011-02-21,2005.3,2014.15,2014.98,1991.7,324240000.0,-0.0039000000000000003
2011-02-22,1969.92,1978.34,1982.7,1958.77,346090000.0,-0.0176
2011-02-23,1961.63,1962.7,1977.99,1951.75,308590000.0,-0.0042
2011-02-24,1949.88,1957.63,1970.66,1945.41,281570000.0,-0.006
2011-02-25,1963.43,1956.02,1965.48,1941.15,306890000.0,0.0069
2011-02-28,1939.3,1954.4,1958.59,1935.93,263870000.0,-0.0123
2011-03-02,1928.24,1922.38,1940.78,1921.34,207670000.0,-0.005699999999999999
2011-03-03,1970.66,1942.24,1970.66,1941.23,284830000.0,0.022000000000000002
2011-03-04,2004.68,1989.88,2008.89,1984.15,334580000.0,0.0173
2011-03-07,1980.27,1996.48,2005.43,1978.13,255920000.0,-0.012199999999999999
2011-03-08,1996.32,1984.08,2007.24,1974.73,304750000.0,0.008100000000000001
2011-03-09,2001.47,2007.79,2016.68,1991.52,315360000.0,0.0026
2011-03-10,1981.58,1999.38,2001.27,1973.88,288390000.0,-0.009899999999999999
2011-03-11,1955.54,1956.34,1970.7,1949.32,267170000.00000003,-0.0131
2011-03-14,1971.23,1949.08,1971.23,1928.99,388620000.0,0.008
2011-03-15,1923.92,1966.82,1985.82,1882.09,403890000.0,-0.024
2011-03-16,1957.97,1951.68,1965.15,1931.38,284420000.0,0.0177
2011-03-17,1959.03,1921.59,1961.09,1919.13,305710000.0,0.0005
2011-03-18,1981.13,1963.17,1988.04,1960.49,291300000.0,0.0113
2011-03-21,2003.42,1985.47,2005.32,1985.15,292260000.0,0.0113
2011-03-22,2013.66,2012.48,2016.27,2004.36,304110000.0,0.0051
2011-03-23,2012.18,2019.18,2022.14,2005.59,312570000.0,-0.0007000000000000001
2011-03-24,2036.78,2022.26,2036.93,2022.08,295490000.0,0.012199999999999999
2011-03-25,2054.04,2058.35,2060.29,2041.72,311220000.0,0.0085
2011-03-28,2056.39,2054.28,2059.92,2043.99,285360000.0,0.0011
2011-03-29,2072.13,2052.87,2072.13,2050.09,250470000.0,0.0077
2011-03-30,2091.38,2075.91,2100.2,2074.26,316860000.0,0.009300000000000001
2011-03-31,2106.7,2098.09,2106.74,2089.12,317890000.0,0.0073
