stock_name,2013,2014,2015,2016,2017,2018,2019,2020
3S,,,,83.0,210.0,34.0,32.0,24.0
AJ네트웍스,698.0,2732.0,2391.0,288.0,320.0,24.0,982.0,83.0
AK홀딩스,7296.0,5549.0,3334.0,5585.0,7727.0,8224.0,2168.0,11795.0
APS홀딩스,564.0,59.0,412.0,1175.0,968.0,47.0,148.0,2548.0
AP시스템,,,,0.0,1395.0,1812.0,671.0,1736.0
AP위성,1116.0,750.0,904.0,473.0,5.0,47.0,51.0,97.0
BGF,2858.0,4238.0,6239.0,3704.0,239.0,575.0,281.0,285.0
BGF리테일,,,,0.0,1619.0,8925.0,8763.0,7103.0
BNGT,193.0,179.0,1062.0,539.0,165.0,395.0,0.0,0.0
BNK금융지주,1299.0,3809.0,1967.0,1522.0,1200.0,1475.0,1647.0,1498.0
BYC,24697.0,30221.0,20803.0,20995.0,7414.0,10891.0,33265.0,21904.0
CBI,307.0,156.0,100.0,0.0,0.0,0.0,0.0,0.0
CJ,5280.0,7375.0,7242.0,7837.0,16286.0,0.0,8240.0,2581.0
CJ CGV,573.0,757.0,2455.0,583.0,66.0,6647.0,6875.0,22827.0
CJ ENM,22152.0,15734.0,14073.0,3886.0,21705.0,8284.0,4754.0,2596.0
CJ대한통운,2445.0,3286.0,2636.0,2813.0,2654.0,2815.0,1349.0,5683.0
CJ씨푸드,177.0,91.0,71.0,149.0,127.0,60.0,51.0,58.0
CJ제일제당,8293.0,6530.0,13401.0,19522.0,26179.0,55416.0,9516.0,42783.0
CJ프레시웨이,1290.0,975.0,915.0,393.0,129.0,1154.0,434.0,3307.0
CMG제약,4.0,2.0,42.0,8.0,31.0,56.0,25.0,0.0
CNH,230.0,77.0,72.0,90.0,81.0,20.0,393.0,824.0
CNT85,,,,1051.0,874.0,469.0,12211.0,140.0
COWON,758.0,283.0,1013.0,635.0,13.0,44.0,238.0,20.0
CS,1434.0,1350.0,815.0,571.0,53.0,218.0,28.0,9.0
CSA 코스믹,86.0,88.0,34.0,341.0,488.0,23.0,387.0,472.0
CS홀딩스,6959.0,6412.0,18834.0,8045.0,5138.0,5469.0,9253.0,6657.0
DB,3710.0,7240.0,767.0,120.0,6.0,21.0,23.0,33.0
DB금융스팩8호,,,,,,,0.0,0.0
DB금융스팩9호,,,,,,,0.0,0.0
DB금융투자,164.0,361.0,180.0,3.0,107.0,1312.0,1172.0,2327.0
DB손해보험,4267.0,6668.0,6616.0,8273.0,10445.0,8413.0,5940.0,9171.0
DB하이텍,2067.0,1915.0,3112.0,2042.0,2546.0,2002.0,2410.0,3822.0
DGB금융지주,1777.0,1714.0,1759.0,1702.0,1787.0,2233.0,1782.0,1908.0
DI동일,,,,,,,,
DL,648.0,11766.0,5352.0,6868.0,12702.0,16741.0,17223.0,13077.0
DL건설,1556.0,1898.0,2639.0,4935.0,4256.0,4251.0,6265.0,7953.0
DL이앤씨,,,,,,,,
DMS,528.0,1914.0,588.0,1610.0,171.0,662.0,768.0,1718.0
DRB동일,1710.0,2253.0,2377.0,2092.0,954.0,314.0,461.0,121.0
DSC인베스트먼트,,,,78.0,125.0,302.0,312.0,890.0
DSR,451.0,423.0,621.0,672.0,692.0,494.0,546.0,558.0
DSR제강,126.0,507.0,685.0,603.0,348.0,513.0,469.0,367.0
E1,6462.0,7096.0,1725.0,4591.0,14600.0,13507.0,7466.0,10427.0
EDGC,,,,159.0,249.0,234.0,271.0,266.0
EG,627.0,398.0,518.0,73.0,84.0,2192.0,99.0,548.0
EMW,264.0,603.0,345.0,81.0,390.0,476.0,10.0,190.0
ESR켄달스퀘어리츠,,,,,,,0.0,0.0
ES큐브,520.0,13.0,18.0,273.0,21.0,47.0,1661.0,2337.0
F&F,,,,,,,,
F&F홀딩스,,,,,,,,
FSN,0.0,0.0,4.0,183.0,8.0,42.0,36.0,60.0
GH신소재,282.0,164.0,302.0,349.0,223.0,41.0,204.0,5.0
GKL,2224.0,1884.0,1483.0,1849.0,1302.0,1257.0,1170.0,1040.0
GRT,,,,1451.0,838.0,844.0,964.0,850.0
GS,3778.0,3664.0,5198.0,8509.0,10416.0,9539.0,5745.0,2564.0
GST,662.0,845.0,598.0,458.0,1719.0,0.0,2010.0,1788.0
GS건설,16012.0,667.0,363.0,394.0,2431.0,7788.0,5590.0,3919.0
