기업,연도,부채비율,매출액증가율,영업이익증가율,당기순이익증가율,매출액_상태,영업이익_상태,당기순이익_상태,ROA,ROE,현재_주가,미래_주가,배당금,PER
3S,2013,70.61231982601436,,,,적자전환,적자전환,적자전환,1.036270903790064,,6100.0,4350.0,,
3S,2014,60.28833624711296,-11.68784455691988,173.1791279376815,114.7280176374578,흑자지속,적자전환,적자전환,-6.675780603954225,-10.489496444457124,4350.0,2535.0,,
3S,2015,56.3239673366029,-24.3529157342481,38.89499695999821,14.974004652785997,흑자지속,적자지속,적자지속,-8.31210700661931,-13.836279980550827,2535.0,3595.0,,
3S,2016,59.92367635931243,2.240209590785317,453.4094658493484,-64.51109818073432,흑자지속,흑자전환,적자지속,-5.8937673218808815,-9.383155303627827,3595.0,2320.0,0.0,43.31325301204819
3S,2017,54.33131454686698,10.359572740033824,148.5925920414788,61.34130809373117,흑자지속,적자전환,적자지속,-16.392324779452462,-27.60532199076279,2320.0,2685.0,0.0,11.047619047619047
3S,2018,62.09959265434294,16.039608730082684,826.4169652897674,-514.6882835415518,흑자지속,흑자전환,적자지속,-2.8921867515104243,-4.7795489660276544,2685.0,2700.0,0.0,78.97058823529412
3S,2019,64.45187385047689,11.76375144873525,79.94696677716757,201.499467998318,흑자지속,흑자지속,흑자전환,2.645981008030326,4.333519465497777,2700.0,2420.0,0.0,84.375
3S,2020,67.18911473371158,-58.25033375294002,-255.78188716562155,230.6123200223166,흑자지속,흑자지속,적자전환,-2.175581313817565,-3.1898756342039403,2420.0,,0.0,100.83333333333331
AJ네트웍스,2013,17.141353553991888,,,,흑자지속,흑자지속,흑자전환,1.4502329803508551,,7100.0,7100.0,0.0,10.17191977077364
AJ네트웍스,2014,19.700517407239012,25.121481432524256,8.366220514879402,35.378966543510884,흑자지속,흑자지속,흑자지속,1.951326389532455,11.277777894108764,7100.0,8300.0,0.0,2.5988286969253296
AJ네트웍스,2015,23.070472023705733,4.20912977267082,-3.661193499137023,3.216891533251635,흑자지속,흑자지속,흑자지속,1.6804465047068269,8.510652402851168,8300.0,5800.0,0.0,3.471350899205353
AJ네트웍스,2016,20.539193785833763,15.8146094993856,-20.044810234960856,-69.74499820178593,흑자지속,흑자지속,흑자지속,0.8205952599125783,4.137913635601165,5800.0,7170.0,60.0,20.13888888888889
AJ네트웍스,2017,18.99441311726731,-48.574041593225175,-175.68555603536896,17.280773823652193,흑자지속,흑자지속,흑자지속,0.8770233643510811,4.72119757398857,7170.0,4810.0,86.0,22.40625
AJ네트웍스,2018,19.098304388044838,20.133670678594733,205.43514419299896,44.59935283112589,흑자지속,적자전환,흑자지속,1.447255303925629,7.938147466646306,4810.0,2950.0,100.0,200.41666666666663
AJ네트웍스,2018,19.098304388044838,-1.0678960502044856,-0.2148928992252789,0.0,흑자지속,적자지속,흑자지속,1.447255303925629,7.5779256342337,4810.0,2950.0,100.0,200.41666666666663
AJ네트웍스,2019,19.261896519949232,-4.525498112257934,235.6994964626292,11.535518794438865,흑자지속,흑자전환,흑자지속,2.3362524478455096,10.040788444834122,2950.0,4620.0,300.0,3.0040733197556007
AJ네트웍스,2020,18.134566616610115,1.6509480743267289,31.819483156400956,1370.153171431276,흑자지속,흑자지속,적자전환,-0.2088448586135612,-1.0440914523910332,4620.0,,210.0,55.66265060240964
AK홀딩스,2013,26.73780786824532,,,,흑자지속,흑자지속,흑자전환,4.560521180057001,,55731.0,98500.0,200.0,7.638569078947368
AK홀딩스,2014,29.82209529134736,22.022611351199377,26.14618763339016,-14.86639005551546,흑자지속,흑자지속,흑자지속,3.400244441582541,12.89901702412516,98500.0,56100.0,350.0,17.75094611641737
AK홀딩스,2015,36.12855308143651,-2.377013713764068,-38.75331132922474,351.83306303781274,흑자지속,흑자지속,적자전환,-1.5004142367767803,-4.332168365136878,56100.0,61200.0,500.0,16.82663467306539
AK홀딩스,2016,36.88696128137962,3.9250454196359694,50.24275373950321,128.08461207965195,흑자지속,흑자지속,흑자전환,4.862324654509031,13.938458016703956,61200.0,74600.0,550.0,10.957923008057296
AK홀딩스,2017,39.1221876559198,13.872655670341985,19.564566562283847,28.094788775670004,흑자지속,흑자지속,흑자지속,6.296352992849194,17.14031150962771,74600.0,52400.0,650.0,9.654458392649152
AK홀딩스,2018,43.37632334523381,8.588325701573043,1.5114417855197515,10.263450122890228,흑자지속,흑자지속,흑자지속,6.080770456255083,15.736741244999866,52400.0,18000.0,750.0,6.371595330739299
AK홀딩스,2019,33.0395240046719,1.286299207587902,-105.36339198932951,-260.1049214497937,흑자지속,흑자지속,흑자지속,1.3257463605977502,3.951863818299211,18000.0,26900.0,750.0,8.302583025830259
AK홀딩스,2020,29.948649961394263,-43.49521958928869,159.27963719277807,121.58887030303796,흑자지속,적자전환,적자전환,-6.400992151878684,-19.88267009224037,26900.0,,400.0,2.2806273844849514
APS홀딩스,2013,55.84276648548288,,,,흑자지속,흑자전환,흑자전환,8.358189168466142,,6504.0,6929.0,0.0,11.53191489361702
APS홀딩스,2014,46.29756448222507,-44.872969317493215,-336.8234266163029,-1371.4229490118096,흑자지속,흑자지속,흑자지속,0.4799924116034185,1.026886178348167,6929.0,13672.0,0.0,117.44067796610167
APS홀딩스,2015,36.66819644622221,40.17705817579491,69.74342694749305,86.73919951401095,흑자지속,흑자지속,흑자지속,2.6104486618137024,7.452292492808857,13672.0,20750.0,0.0,33.18446601941748
