stock_name,2013,2014,2015,2016,2017,2018,2019,2020
DB하이텍,0.0,0.0,0.0,0.0,250.0,250.0,350.0,350.0
DGB금융지주,280.0,320.0,280.0,300.0,340.0,360.0,410.0,390.0
DI동일,,,,,,,,
DL,100.0,100.0,300.0,300.0,1000.0,1700.0,1300.0,1300.0
DL건설,0.0,0.0,0.0,0.0,0.0,250.0,400.0,550.0
DL이앤씨,,,,,,,,
DMS,0.0,0.0,0.0,50.0,50.0,100.0,75.0,100.0
DRB동일,40.0,60.0,60.0,80.0,100.0,110.0,100.0,50.0
DSC인베스트먼트,,,,0.0,0.0,0.0,0.0,0.0
DSR,30.0,30.0,50.0,50.0,50.0,50.0,50.0,50.0
DSR제강,30.0,30.0,40.0,40.0,40.0,40.0,40.0,40.0
E1,2000.0,2000.0,2600.0,2000.0,2000.0,2000.0,2200.0,2200.0
EDGC,,,,0.0,0.0,0.0,0.0,0.0
EG,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0
EMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESR켄달스퀘어리츠,,,,,,,0.0,0.0
ES큐브,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F&F,,,,,,,,
F&F홀딩스,,,,,,,,
FSN,,,,,,,,
GH신소재,50.0,75.0,90.0,90.0,90.0,0.0,0.0,0.0
GKL,1179.0,1002.0,831.0,1000.0,730.0,710.0,659.0,0.0
GRT,,,,0.0,72.0,0.0,0.0,0.0
GS,1350.0,1200.0,1500.0,1600.0,1800.0,1900.0,1900.0,1900.0
GST,50.0,70.0,0.0,0.0,100.0,0.0,200.0,150.0
GS건설,0.0,0.0,0.0,0.0,300.0,1000.0,1000.0,1200.0
GS글로벌,125.0,125.0,0.0,0.0,25.0,25.0,0.0,0.0
GS리테일,450.0,600.0,850.0,1100.0,600.0,650.0,750.0,900.0
GV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HB솔루션,,,,,,,0.0,0.0
HB테크놀러지,0.0,0.0,0.0,30.0,40.0,20.0,20.0,20.0
HDC,50.0,300.0,500.0,700.0,1000.0,150.0,200.0,250.0
HDC아이콘트롤스,2000.0,2000.0,250.0,300.0,250.0,350.0,350.0,400.0
HDC현대EP,80.0,100.0,130.0,140.0,120.0,60.0,120.0,140.0
HDC현대산업개발,,,,0.0,0.0,500.0,500.0,600.0
HK이노엔,,,,,,,0.0,0.0
HMM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRS,70.0,80.0,30.0,80.0,80.0,30.0,0.0,0.0
HSD엔진,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBKS제12호스팩,,,,,,,0.0,0.0
IBKS제13호스팩,,,,,,,0.0,0.0
IBKS제14호스팩,,,,,,,0.0,0.0
IBKS제15호스팩,,,,,,,,
IBKS제16호스팩,,,,,,,,
IHQ,,,,,,,,
ISC,300.0,500.0,250.0,170.0,350.0,150.0,50.0,150.0
ITX-AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JB금융지주,100.0,100.0,50.0,50.0,100.0,180.0,300.0,374.0
JTC,,,,598.0,598.0,199.0,65.0,32.0
JW생명과학,93.0,771.0,808.0,600.0,1000.0,500.0,500.0,500.0
JW신약,25.0,30.0,50.0,60.0,60.0,60.0,60.0,0.0
JW중외제약,125.0,125.0,150.0,250.0,275.0,325.0,325.0,325.0
JW홀딩스,25.0,25.0,45.0,75.0,75.0,85.0,90.0,90.0
JYP Ent.,0.0,0.0,0.0,0.0,0.0,0.0,155.0,154.0
KBI메탈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KB금융,500.0,780.0,980.0,1250.0,1920.0,1920.0,2210.0,1770.0
KB오토시스,125.0,180.0,200.0,300.0,250.0,280.0,230.0,170.0
KCC,,,,,,,,
KCC건설,0.0,250.0,0.0,100.0,130.0,130.0,150.0,180.0
KCC글라스,,,,,,,,
KCI,75.0,90.0,130.0,180.0,180.0,180.0,200.0,200.0
KCTC,,,,,,,,
KC그린홀딩스,100.0,50.0,80.0,100.0,110.0,80.0,60.0,40.0
KC코트렐,100.0,0.0,0.0,40.0,100.0,80.0,30.0,0.0
KD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEC,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
KG ETS,50.0,100.0,100.0,100.0,100.0,100.0,110.0,110.0
KG동부제철,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
KG모빌리언스,125.0,150.0,150.0,200.0,200.0,200.0,200.0,220.0
KG이니시스,150.0,200.0,200.0,250.0,250.0,300.0,330.0,350.0
KG케미칼,1000.0,350.0,350.0,350.0,350.0,350.0,350.0,400.0
KH E&T,0.0,0.0,0.0,0.0,80.0,60.0,0.0,0.0
KH 일렉트론,250.0,300.0,500.0,400.0,250.0,0.0,0.0,0.0
KH 필룩스,35.0,40.0,0.0,78.0,50.0,0.0,0.0,0.0
KH바텍,370.0,500.0,300.0,50.0,0.0,0.0,0.0,0.0
KISCO홀딩스,900.0,900.0,900.0,180.0,250.0,280.0,280.0,300.0
KMH,0.0,0.0,0.0,0.0,0.0,120.0,70.0,0.0
KMH하이텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,250.0,250.0,250.0,20.0,25.0,25.0,20.0,15.0
KPX생명과학,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0
KPX케미칼,1500.0,1750.0,1750.0,2000.0,2000.0,2000.0,2500.0,2750.0
KPX홀딩스,2050.0,2100.0,2100.0,2100.0,3850.0,2600.0,2600.0,3100.0
KR모터스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSS해운,130.0,200.0,260.0,170.0,230.0,230.0,270.0,300.0
KT,,,,,,,,
KT&G,,,,,,,,
KTB투자증권,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0
KTcs,120.0,120.0,100.0,80.0,80.0,90.0,80.0,80.0
KTis,120.0,120.0,100.0,80.0,80.0,80.0,90.0,80.0
KT서브마린,117.0,120.0,50.0,50.0,50.0,30.0,30.0,30.0
LF,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
LG,1000.0,1000.0,1300.0,1300.0,1300.0,2000.0,2200.0,2500.0
LG디스플레이,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0
LG생활건강,3750.0,4000.0,5500.0,7500.0,9000.0,9250.0,11000.0,11000.0
LG유플러스,150.0,150.0,250.0,350.0,400.0,400.0,400.0,450.0
LG이노텍,0.0,250.0,350.0,250.0,250.0,300.0,300.0,700.0
LG전자,200.0,400.0,400.0,400.0,400.0,750.0,750.0,1200.0
LG헬로비전,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
LG화학,4000.0,4000.0,4500.0,5000.0,6000.0,6000.0,2000.0,10000.0
LIG넥스원,670.0,630.0,940.0,940.0,500.0,500.0,600.0,900.0
LS,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1450.0,1450.0
LS ELECTRIC,,,,,,,,
LS네트웍스,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
LS전선아시아,,,,150.0,160.0,160.0,180.0,200.0
LX세미콘,600.0,600.0,1000.0,900.0,700.0,830.0,830.0,1350.0
LX인터내셔널,300.0,300.0,200.0,250.0,250.0,250.0,300.0,400.0
LX하우시스,1800.0,1800.0,1800.0,1800.0,1800.0,250.0,250.0,300.0
LX홀딩스,,,,,,,,
MH에탄올,0.0,200.0,250.0,300.0,350.0,350.0,350.0,350.0
NAVER,734.0,782.0,1100.0,1131.0,1446.0,314.0,376.0,402.0
NEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE능률,100.0,50.0,100.0,70.0,50.0,0.0,0.0,40.0
NHN,,,,,,,,
NHN벅스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHN한국사이버결제,50.0,50.0,0.0,0.0,0.0,150.0,230.0,0.0
NH투자증권,50.0,160.0,400.0,400.0,500.0,500.0,500.0,700.0
NH프라임리츠,,,,,,,0.0,127.0
NICE,110.0,110.0,120.0,130.0,130.0,180.0,230.0,270.0
NICE평가정보,90.0,100.0,120.0,130.0,140.0,190.0,230.0,275.0
NI스틸,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
NPC,,,,,,,,
OCI,0.0,200.0,0.0,400.0,1950.0,850.0,0.0,0.0
OQP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PI첨단소재,6600.0,0.0,110.0,450.0,800.0,830.0,315.0,711.0
PN풍년,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
POSCO,,,,,,,,
RFHIC,0.0,0.0,0.0,0.0,50.0,200.0,200.0,100.0
RF머트리얼즈,,,,,,,0.0,0.0
S&K폴리텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0
S-Oil,1330.0,150.0,2400.0,6200.0,5900.0,750.0,200.0,0.0
SBI인베스트먼트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBI핀테크솔루션즈,,,,107.0,101.0,137.0,185.0,195.0
SBS,600.0,0.0,750.0,0.0,250.0,0.0,150.0,0.0
SBS미디어홀딩스,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0
SBS콘텐츠허브,250.0,250.0,150.0,100.0,0.0,75.0,0.0,0.0
SCI평가정보,0.0,0.0,0.0,0.0,0.0,0.0,69.0,35.0
SDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFA반도체,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG,,,,0.0,50.0,60.0,0.0,0.0
SG&G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
