기업,연도,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익,부채비율,매출액증가율,영업이익증가율,당기순이익증가율,매출액_상태,영업이익_상태,당기순이익_상태,ROA,ROE
3S,2013,67660583293.0,19883875822.0,47776707471.0,32236446153.0,1859291010.0,701146938.0,70.61231982601436,,,,적자전환,적자전환,적자전환,1.036270903790064,
3S,2014,71312012159.0,28319186484.0,42992825675.0,28862985297.0,-2540739501.0,-4760633476.0,60.28833624711296,-11.687844556919881,173.1791279376815,114.7280176374578,흑자지속,적자전환,적자전환,-6.675780603954225,-10.489496444457123
3S,2015,67359971696.0,29420163240.0,37939808456.0,23210541648.0,-4157989321.0,-5599032927.0,56.3239673366029,-24.3529157342481,38.89499695999821,14.974004652785997,흑자지속,적자지속,적자지속,-8.31210700661931,-13.836279980550827
3S,2016,57746389196.0,23142629825.0,34603759371.0,23742421655.0,1176535923.0,-3403437816.0,59.92367635931243,2.2402095907853172,453.40946584934835,-64.51109818073432,흑자지속,흑자전환,적자지속,-5.8937673218808815,-9.383155303627827
3S,2017,53706903697.0,24527236916.0,29179666781.0,26486287918.0,-2421224869.0,-8803810083.0,54.331314546866984,10.359572740033823,148.5925920414788,61.34130809373117,흑자지속,적자전환,적자지속,-16.392324779452462,-27.60532199076279
3S,2018,49520999059.0,18768660365.0,30752338694.0,31546170185.0,333310617.0,-1432239774.0,62.09959265434294,16.039608730082684,826.4169652897674,-514.6882835415518,흑자지속,흑자전환,적자지속,-2.8921867515104243,-4.7795489660276544
3S,2019,53329221212.0,18957538831.0,34371682381.0,35751939484.0,1662145638.0,1411081065.0,64.45187385047689,11.76375144873525,79.94696677716757,201.499467998318,흑자지속,흑자지속,흑자전환,2.645981008030326,4.333519465497777
3S,2020,49658374621.0,16293352322.0,33365022299.0,22592015218.0,467181073.0,-1080358319.0,67.18911473371158,-58.25033375294002,-255.78188716562153,230.6123200223166,흑자지속,흑자지속,적자전환,-2.175581313817565,-3.1898756342039403
AJ네트웍스,2013,1250258682892.0,1035947421718.0,214311261174.0,757134207083.0,70537595517.0,18131663759.0,17.141353553991888,,,,흑자지속,흑자지속,흑자전환,1.4502329803508553,
AJ네트웍스,2014,1437917070538.0,1154639967755.0,283277102783.0,1011150088928.0,76977721440.0,28058455257.0,19.700517407239015,25.121481432524256,8.366220514879402,35.378966543510884,흑자지속,흑자지속,흑자지속,1.951326389532455,11.277777894108763
AJ네트웍스,2015,1725200197495.0,1327188368579.0,398011828916.0,1055580857057.0,74258957322.0,28991066418.0,23.070472023705733,4.20912977267082,-3.6611934991370227,3.216891533251635,흑자지속,흑자지속,흑자지속,1.6804465047068267,8.510652402851168
AJ네트웍스,2016,2081316853429.0,1653831151606.0,427485701823.0,1253876534610.0,61859364996.0,17079187443.0,20.539193785833763,15.814609499385599,-20.044810234960856,-69.74499820178593,흑자지속,흑자지속,흑자지속,0.8205952599125783,4.137913635601165
AJ네트웍스,2017,2354233734500.0,1907060853223.0,447172881277.0,843940516906.0,22438377217.0,20647179903.0,18.99441311726731,-48.574041593225175,-175.68555603536896,17.280773823652193,흑자지속,흑자지속,흑자지속,0.8770233643510811,4.72119757398857
AJ네트웍스,2018,2575139461359.0,2083331488612.0,491807972747.0,1056691254095.0,-21281686850.0,37268842438.0,19.098304388044834,20.133670678594733,205.43514419299896,44.59935283112589,흑자지속,적자전환,흑자지속,1.447255303925629,7.938147466646306
AJ네트웍스,2018,2575139461359.0,2083331488612.0,491807972747.0,1045526121935.0,-21236052082.0,37268842438.0,19.098304388044834,-1.0678960502044856,-0.2148928992252789,0.0,흑자지속,적자지속,흑자지속,1.447255303925629,7.5779256342337
AJ네트웍스,2019,1803255225986.0,1455914070366.0,347341155620.0,1000259401598.0,15649322684.0,42128594358.0,19.261896519949232,-4.525498112257934,235.69949646262916,11.535518794438863,흑자지속,흑자전환,흑자지속,2.3362524478455096,10.040788444834122
AJ네트웍스,2020,1588170350000.0,1300162539894.0,288007810106.0,1017050375182.0,22952778020.0,-3316812122.0,18.134566616610115,1.6509480743267289,31.819483156400953,1370.153171431276,흑자지속,흑자지속,적자전환,-0.2088448586135612,-1.0440914523910332
AK홀딩스,2013,2374994471896.0,1739973013119.0,635021458777.0,2240972020725.0,108947071649.0,108312125916.0,26.737807868245316,,,,흑자지속,흑자지속,흑자전환,4.560521180057001,
AK홀딩스,2014,2773153875670.0,1946141284292.0,827012591378.0,2873874157056.0,147517193978.0,94294010514.0,29.82209529134736,22.022611351199377,26.146187633390156,-14.86639005551546,흑자지속,흑자지속,흑자지속,3.4002444415825415,12.89901702412516
AK홀딩스,2015,2495514992742.0,1593921533934.0,901593458808.0,2807147867285.0,106316161081.0,-37443062232.0,36.12855308143651,-2.3770137137640677,-38.75331132922474,351.83306303781274,흑자지속,흑자지속,적자전환,-1.5004142367767803,-4.332168365136878
AK홀딩스,2016,2741946502613.0,1730525757838.0,1011420744775.0,2921831063617.0,213669704558.0,133322340810.0,36.88696128137962,3.9250454196359694,50.24275373950321,128.08461207965195,흑자지속,흑자지속,흑자전환,4.862324654509031,13.938458016703956
AK홀딩스,2017,2944784346646.0,1792720288489.0,1152064058157.0,3392454610505.0,265641267071.0,185414017343.0,39.1221876559198,13.872655670341985,19.564566562283847,28.094788775670004,흑자지속,흑자지속,흑자지속,6.296352992849194,17.14031150962771
AK홀딩스,2018,3397931239428.0,1924033597965.0,1473897641463.0,3711183102751.0,269717896055.0,206620398931.0,43.37632334523381,8.588325701573043,1.5114417855197517,10.263450122890228,흑자지속,흑자지속,흑자지속,6.080770456255083,15.736741244999866
AK홀딩스,2019,4327964555085.0,2898025666994.0,1429938888091.0,3759542062510.0,131336891859.0,57377832577.0,33.0395240046719,1.286299207587902,-105.36339198932953,-260.1049214497937,흑자지속,흑자지속,흑자지속,1.3257463605977502,3.951863818299211
AK홀딩스,2020,4152091609064.0,2908596226989.0,1243495382075.0,2619977218245.0,-221554817267.0,-265775058035.0,29.948649961394263,-43.49521958928869,159.27963719277807,121.58887030303795,흑자지속,적자전환,적자전환,-6.400992151878684,-19.882670092240375
APS홀딩스,2013,182192904636.0,80451346347.0,101741558289.0,254086978818.0,16033792289.0,15228027621.0,55.84276648548288,,,,흑자지속,흑자전환,흑자전환,8.358189168466142,
APS홀딩스,2014,215611419677.0,115788583621.0,99822836056.0,175386050286.0,3670543133.0,1034918453.0,46.29756448222507,-44.872969317493215,-336.8234266163029,-1371.4229490118096,흑자지속,흑자지속,흑자지속,0.47999241160341855,1.0268861783481673
APS홀딩스,2015,298965609137.0,189340312272.0,109625296865.0,293175235015.0,12131390844.0,7804343743.0,36.668196446222204,40.17705817579491,69.74342694749305,86.73919951401095,흑자지속,흑자지속,흑자지속,2.6104486618137024,7.452292492808857
APS홀딩스,2016,566224745961.0,359269894892.0,206954851069.0,554987946694.0,32287267105.0,27483960690.0,36.54994815137494,47.174486083632715,62.426702747717734,71.60400631107147,흑자지속,흑자지속,흑자지속,4.853896069722997,17.363034839272235
APS홀딩스,2017,231782970606.0,48506788748.0,183276181858.0,80465235100.0,-296684124.0,670121253014.0,79.07232415687042,-589.7238863520079,10982.708070014558,95.89865855374896,흑자지속,적자전환,흑자지속,289.1158273025659,343.44846845604854
APS홀딩스,2018,283203879436.0,47614274439.0,235589604997.0,28416309699.0,-3614600651.0,1166724289.0,83.18728029650451,-183.16567475625328,91.79206355983142,-57336.12774088738,흑자지속,적자지속,흑자지속,0.411973272161218,0.5570874134935677
APS홀딩스,2019,297708243544.0,82922501541.0,214785742003.0,23151385938.0,-10579887493.0,-4601038289.0,72.14638716285852,-22.741289765975996,65.83516929275913,125.35784785337178,흑자지속,적자지속,적자전환,-1.545485685659217,-2.0432016626345226
APS홀딩스,2020,275216520494.0,108669291920.0,166547228574.0,25345952537.0,-10877059034.0,-46308607986.0,60.51498226743656,8.658449887793223,2.7320945861476695,90.06439949481751,흑자지속,적자지속,적자지속,-16.826245714784253,-24.287754565743334
AP시스템,2013,,,,,,,,,,,,,,,
AP시스템,2014,,,,,,,,,,,,,,,
AP시스템,2015,,,,,,,,,,,,,,,
AP시스템,2016,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
AP시스템,2017,468030720270.0,378541380141.0,89489340129.0,962422667284.0,26159865374.0,19088064733.0,19.12039878010036,100.0,100.0,100.0,흑자전환,흑자전환,흑자전환,4.078378599162973,42.65997426170383
AP시스템,2018,420986942846.0,314571813557.0,106415129289.0,714239792928.0,45752842099.0,25227011908.0,25.27753677337385,-34.74783634479162,42.8235183348932,24.33481697074561,흑자지속,흑자지속,흑자지속,5.992350199143401,25.75440160497135
AP시스템,2019,420965874474.0,306842978155.0,114122896319.0,462077778626.0,28427122553.0,9451469310.0,27.109773793801555,-54.57133538249992,-60.94784835748902,-166.91100696173135,흑자지속,흑자지속,흑자지속,2.245186577607907,8.571283146245007
AP시스템,2020,371315018802.0,233155412302.0,138159606500.0,591795352612.0,46277808090.0,24951026992.0,37.2081923714678,21.919329615122372,38.57288465841858,62.11991869901625,흑자지속,흑자지속,흑자지속,6.719638508698428,19.780227889923154
AP위성,2013,31869335680.0,9581643998.0,22287691682.0,39258702632.0,12399661294.0,10471794610.0,69.93459765145629,,,,흑자지속,흑자지속,흑자지속,32.85852806957538,
AP위성,2014,36448424558.0,7581250380.0,28867174178.0,34570998699.0,8576331677.0,7042065422.0,79.200060161898,-13.5596427913886,-44.58001113988399,-48.703455342593664,흑자지속,흑자지속,흑자지속,19.32063047277677,27.532338531676093
AP위성,2015,42107092947.0,4529392466.0,37577700481.0,36467603327.0,8997514827.0,8807917137.0,89.2431603585146,5.200793183454932,4.681105372964782,20.04845967024451,흑자지속,흑자지속,흑자지속,20.917894161172523,26.511953501915325
AP위성,2016,85989622302.0,5308034680.0,80681587622.0,24891104313.0,1621484704.0,5955122853.0,93.82712176434744,-46.50857940422468,-454.8935987372718,-47.90487710195355,흑자지속,흑자지속,흑자지속,6.92539715093212,10.071298328488638
AP위성,2017,103715771342.0,21663952482.0,82051818860.0,30047518280.0,2721418039.0,65521281.0,79.1121907481518,17.160864730822624,40.4176542977637,-8988.837644978279,흑자지속,흑자지속,흑자지속,0.06317388392546908,0.08052591341440067
AP위성,2018,99703730899.0,18203168074.0,81500562825.0,42843708317.0,881104551.0,-664742250.0,81.74274130981132,29.867139282905132,-208.8643721010584,109.85664458668003,흑자지속,흑자지속,적자전환,-0.6667175280264935,-0.8128799387101386
AP위성,2019,102642812999.0,20383419070.0,82259393929.0,45653106268.0,7123981451.0,713709314.0,80.14140642248513,6.153793642228489,87.63185225761195,193.13907454485036,흑자지속,흑자지속,흑자전환,0.6953329640400183,0.8716530318484796
AP위성,2020,112747417633.0,32846512777.0,79900904856.0,45379281619.0,4376442736.0,-1361421642.0,70.86717064871722,-0.6034133622894362,-62.78018200487657,152.4238260934007,흑자지속,흑자지속,적자전환,-1.2074969614217808,-1.679105986114442
BGF,2013,1159883359832.0,956919553518.0,202963806314.0,3130011840034.0,105033426171.0,70049051756.0,17.498639375548738,,,,흑자지속,흑자지속,흑자전환,6.039318623050688,
BGF,2014,1338474143824.0,766389584806.0,572084559018.0,3367999286129.0,124120981498.0,101467618178.0,42.741547280365324,7.066137070608771,15.378185941357195,30.96413120379336,흑자지속,흑자지속,흑자지속,7.580842606948579,26.18355775372426
BGF,2015,1621622006432.0,847901835924.0,773720170508.0,4334280041074.0,183615952898.0,152841275769.0,47.712732525774626,22.29391607805672,32.401853140206114,33.612423955846,흑자지속,흑자지속,흑자지속,9.425209769155234,22.71373735219842
BGF,2016,1917601300008.0,975440105503.0,942161194505.0,88251626570.0,10192793046.0,184619214839.0,49.13227762731854,-4811.274964021323,-1701.4292262125068,17.21269321706976,흑자지속,흑자지속,흑자지속,9.627612102590346,21.51887870611629
BGF,2017,858118604869.0,132887657573.0,725230947296.0,124346363905.0,10951480024.0,3497875341046.0,84.51406870577213,29.027577648009235,6.927711837462599,94.72196128110753,흑자지속,흑자지속,흑자지속,407.6214314896464,419.56241166734065
BGF,2018,1624874724266.0,109132614534.0,1515742109732.0,220593918847.0,29473341965.0,47204820813.0,93.28362901433536,43.63110073254358,62.84276130950799,-7309.99601481953,흑자지속,흑자지속,흑자지속,2.905136014982552,4.212886064378077
BGF,2019,1657381460248.0,129126735585.0,1528254724663.0,133387713837.0,26355506906.0,17515291535.0,92.20899118989311,-65.37798909768115,-11.82991877227072,-169.5063380399509,흑자지속,흑자지속,흑자지속,1.0568050841101555,1.1508087877812263
